year,statefips,DS_PM_pred
2016,1,9.71748169485397
2016,4,7.01148626412616
2016,5,8.942065678046694
2016,6,9.753253781030594
2016,8,6.44491527552499
2016,9,7.239220645165189
2016,10,8.332432693276093
2016,11,8.845131269760104
2016,12,7.48144274681796
2016,13,9.84588428700724
2016,16,7.174770788460136
2016,17,9.19613590821923
2016,18,9.026896974557818
2016,19,7.612860480012776
2016,20,7.17630011548573
2016,21,8.714118368326385
2016,22,8.531695292759158
2016,23,5.946843197957546
2016,24,8.354199472858443
2016,25,6.312088710375483
2016,26,8.58269815681935
2016,27,6.631820334311156
2016,28,8.541383995048827
2016,29,8.280916907128878
2016,30,5.614068862175172
2016,31,6.893866979010805
2016,32,6.443082113388386
2016,33,5.473107729216919
2016,34,8.517038882477834
2016,35,6.068424803615162
2016,36,7.610213715992504
2016,37,8.535000213105704
2016,38,4.903657347329698
2016,39,9.172071963951304
2016,40,8.28617804160302
2016,41,6.593891977448154
2016,42,9.499885575534584
2016,44,6.540383925654378
2016,45,8.80432405429623
2016,46,5.2556203663398895
2016,47,8.95054518513582
2016,48,8.277583414084486
2016,49,7.541947414153527
2016,50,5.129106410583935
2016,51,7.806842979843794
2016,53,6.408549016882634
2016,54,7.807921072118448
2016,55,7.803360634008508
2016,56,4.256511298065987
2017,1,9.327489867861534
2017,4,7.589803423563239
2017,5,9.093770132485986
2017,6,10.597246847338017
2017,8,6.928931546467913
2017,9,6.449649787774101
2017,10,8.27629247572078
2017,11,9.035649739205677
2017,12,8.108651745221563
2017,13,9.43605878496771
2017,16,8.982260760479898
2017,17,9.174158528324961
2017,18,8.711231023224778
2017,19,7.900907764488066
2017,20,7.779810167634907
2017,21,8.691829847435258
2017,22,8.881245718326934
2017,23,6.1875917070925555
2017,24,8.472501987084376
2017,25,6.163584034704492
2017,26,8.195985349288463
2017,27,7.0029008251457014
2017,28,8.875434405019867
2017,29,8.584965126112738
2017,30,8.189111321190994
2017,31,7.88366713068234
2017,32,6.881537613280922
2017,33,5.316667924199723
2017,34,8.37720650794179
2017,35,6.108079127871334
2017,36,7.5930221835756475
2017,37,8.231004273420666
2017,38,6.3704209800809055
2017,39,9.06873040213517
2017,40,8.684511171876677
2017,41,8.751600583331754
2017,42,9.414632013146347
2017,44,6.166534214839589
2017,45,8.473309239924824
2017,46,5.81614938705265
2017,47,8.50620850451594
2017,48,9.09103576216343
2017,49,7.387742113622075
2017,50,5.5689079504216625
2017,51,7.821737335343913
2017,53,8.065729405756793
2017,54,7.993788292976884
2017,55,6.861355059404307
2017,56,5.211283545684114
2018,1,8.936486220411275
2018,4,7.388228971287665
2018,5,9.21818984885975
2018,6,11.767271018180756
2018,8,7.293614097417714
2018,9,7.324574494644752
2018,10,7.863876452808665
2018,11,8.637267029520444
2018,12,7.658500117721782
2018,13,8.927362154294741
2018,16,7.826358395577941
2018,17,10.05041711586578
2018,18,9.24359911678333
2018,19,8.3124960259664
2018,20,8.026666729301581
2018,21,8.876495300596776
2018,22,9.148124354860034
2018,23,5.641134723379624
2018,24,8.256748811274088
2018,25,6.783907803833414
2018,26,8.847055571976513
2018,27,7.505821814880367
2018,28,9.144609564044796
2018,29,8.541319660508856
2018,30,6.652727158613599
2018,31,7.688599588107351
2018,32,7.060459796265224
2018,33,5.349590579715362
2018,34,8.424316125962958
2018,35,5.510097861021446
2018,36,8.036653557474445
2018,37,7.733058777590354
2018,38,6.416274890824269
2018,39,9.181456225560927
2018,40,9.624869470583121
2018,41,8.753922486187118
2018,42,8.797616486515293
2018,44,6.962829899598397
2018,45,7.714021283742739
2018,46,5.742766330230172
2018,47,8.214344076052658
2018,48,9.493174827349533
2018,49,7.555344264813157
2018,50,6.15240983201581
2018,51,7.4590673206640945
2018,53,7.876848944371719
2018,54,7.6058156005354025
2018,55,7.675636131636519
2018,56,4.944019828971533
2019,1,9.141051385943276
2019,4,5.940215578414776
2019,5,8.970486097497334
2019,6,8.710022968266175
2019,8,6.368786984317725
2019,9,7.290114768160101
2019,10,7.7798497348147855
2019,11,8.301447424665652
2019,12,7.527651150493683
2019,13,9.57468036417454
2019,16,6.371312285939231
2019,17,9.47365316481027
2019,18,9.020427864855549
2019,19,7.649474099491211
2019,20,7.484159742707027
2019,21,8.58299472305346
2019,22,8.681693870270317
2019,23,5.421190581478362
2019,24,7.903301888874569
2019,25,6.592424696714111
2019,26,8.629849765108325
2019,27,6.782731723797662
2019,28,9.0438439957762
2019,29,8.030621095272782
2019,30,5.062032329755116
2019,31,6.622172686081092
2019,32,5.726810143345918
2019,33,5.198741920376508
2019,34,8.075563635534147
2019,35,5.150886437292868
2019,36,7.732716643494035
2019,37,7.8600725547943195
2019,38,5.269302937915743
2019,39,9.186054204660413
2019,40,8.998908366864796
2019,41,8.183603061537903
2019,42,8.715022084908354
2019,44,5.943195424014393
2019,45,8.091983832398503
2019,46,4.846482612065061
2019,47,7.979672979300253
2019,48,9.079857638943686
2019,49,6.089359336313645
2019,50,5.695501526086785
2019,51,7.515788353046328
2019,53,7.015752604829742
2019,54,7.409319769228257
2019,55,7.900981431342078
2019,56,3.5021039711637285
2020,1,8.733168541203261
2020,4,7.423733629210619
2020,5,8.266159484962346
2020,6,12.256169976551565
2020,8,7.5677921064043785
2020,9,7.63045280494982
2020,10,7.147736243153037
2020,11,6.92784236584161
2020,12,7.991252408839259
2020,13,8.820415593342062
2020,16,8.636007222829361
2020,17,8.976703509742745
2020,18,8.733089059429686
2020,19,7.672100581446717
2020,20,8.024767895667871
2020,21,8.181474974676219
2020,22,8.339180396409931
2020,23,5.350534809930581
2020,24,6.719639059696297
2020,25,6.546169232437798
2020,26,7.871693460201346
2020,27,6.580041534146817
2020,28,8.862561376116547
2020,29,8.037398673200409
2020,30,6.135787621472965
2020,31,6.971119763323205
2020,32,8.07097830195067
2020,33,5.447183682451553
2020,34,7.6607331033184485
2020,35,6.124520261837862
2020,36,7.467759142664096
2020,37,7.0479101662771715
2020,38,5.612872316771686
2020,39,8.21774717663456
2020,40,9.149260797555302
2020,41,13.034829477248923
2020,42,8.198555725221654
2020,44,6.371131980979442
2020,45,7.72594500488957
2020,46,5.563397587540379
2020,47,7.592737807371528
2020,48,8.925826955658952
2020,49,7.542708527349965
2020,50,5.8509280160751445
2020,51,6.88795688270247
2020,53,9.650289058625866
2020,54,6.8965261814063945
2020,55,7.84536120662596
2020,56,4.675625783794788
